start,end,community_name,date_time,Participant_gender,appliances/percolator,appliances/hot_plate,appliances/cooking_coils,appliances/oven,appliances/electric_stove,appliances/epc,appliances/blender,appliances/deep_fryer,appliances/rice_cooker,appliances/microwave,appliances/juicer,appliances/popcorn_machine,appliances/ice_cream_machine,appliances/other,appliances/none,Sensor_Type,Sensor_ID,Record_the_wiring_status_of_the_socket,rent_own,own_home,tenancy_length,How_many_people_live_e_including_yourself,income,yaka_connection,yaka_on_premises,yaka_shared,yaka_shared_number,reason_no_yaka/meter_expensive,reason_no_yaka/electricity_expensive,reason_no_yaka/landlord_wont_allow,reason_no_yaka/someone_wont_allow,reason_no_yaka/not_my_property,reason_no_yaka/documents,reason_no_yaka/dont_understand_process,reason_no_yaka/waiting_for_connection,reason_no_yaka/dont_want_one,reason_no_yaka/other,reason_no_yaka_other,electricity_payment_to,electricity_payment_to/umeme,electricity_payment_to/landlord,electricity_payment_to/neighbor,electricity_payment_to/kamyufu,electricity_payment_to/other,electricity_payment_to/no_one,electricity_payment_to_other,connection_modality,cooking_with_electricity,cooking_with_electricity_yes_no,cooking_fuel_sources,cooking_fuel_sources/electricity,cooking_fuel_sources/charcoal,cooking_fuel_sources/firewood,cooking_fuel_sources/briquettes,cooking_fuel_sources/gas,cooking_fuel_sources/other,cooking_fuel_sources_other,electricity_used,electricity_fuel_likes,electricity_fuel_likes/cheap,electricity_fuel_likes/easy_to_get,electricity_fuel_likes/convenient,electricity_fuel_likes/good_taste,electricity_fuel_likes/traditional,electricity_fuel_likes/modern,electricity_fuel_likes/cooks_quickly,electricity_fuel_likes/cooks_right_amount,electricity_fuel_likes/good_smell,electricity_fuel_likes/safe,electricity_fuel_likes/clean,electricity_fuel_likes/familiarity,electricity_fuel_likes/sold_nearby,electricity_fuel_likes/right_quantities,electricity_fuel_likes/none,electricity_fuel_likes/other,electricity_fuel_likes_other,electricity_fuel_dislikes,electricity_fuel_dislikes/expensive,electricity_fuel_dislikes/sold_far,electricity_fuel_dislikes/poor_quality,electricity_fuel_dislikes/smoky,electricity_fuel_dislikes/not_convenient,electricity_fuel_dislikes/bad_taste,electricity_fuel_dislikes/cooks_slowly,electricity_fuel_dislikes/not_safe,electricity_fuel_dislikes/dirty,electricity_fuel_dislikes/wrong_quantities,electricity_fuel_dislikes/bad_smell,electricity_fuel_dislikes/unfamiliarity,electricity_fuel_dislikes/none,electricity_fuel_dislikes/other,electricity_fuel_dislikes_other,_id,_index
2023-04-05 09:44:33.073000+03:00,2023-04-05 09:53:05.848000+03:00,lubya,2023-04-05 09:44:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fear of electric shock ,230354784,21
2023-04-05 10:51:46.039000+03:00,2023-04-05 10:55:33.719000+03:00,lubya,2023-04-05 10:51:00+03:00,male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,230354786,22
2023-04-18 10:21:39.108000+03:00,2023-04-18 20:40:15.367000+03:00,katwe_2,2023-04-18 10:21:00+03:00,male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,open_ground,rent,business_and_home,36,4,1000,no,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,,kamyufu,0,0,0,1,0,0,,e,yes,1,charcoal,0,1,0,0,0,0,,,convenient clean,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,232760721,23
2023-04-18 11:02:12.176000+03:00,2023-04-18 20:45:59.683000+03:00,katwe_2,2023-04-18 11:02:00+03:00,male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-069,open_ground,rent,business_and_home,2,2,600,yes,yes,yes,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,landlord,0,1,0,0,0,0,,d,yes,1,charcoal,0,1,0,0,0,0,,,convenient clean,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,232760723,24
2023-04-18 11:45:09.578000+03:00,2023-04-18 20:43:13.115000+03:00,katwe_2,2023-04-18 11:45:00+03:00,female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-092,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,convenient,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,232760724,25
2023-04-18 13:31:20.334000+03:00,2023-04-18 20:51:44.789000+03:00,nsambya_gogonya,2023-04-18 13:31:00+03:00,female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,correct,rent,home,8,5,1200,yes,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,umeme,1,0,0,0,0,0,,a,yes,1,charcoal,0,1,0,0,0,0,,,convenient modern,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,232760726,26
2023-04-18 13:54:10.022000+03:00,2023-04-18 20:55:54.502000+03:00,nsambya_gogonya,2023-04-18 13:54:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,a2ei,2.02086E+11,correct,rent,home,5,8,1200,yes,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,umeme,1,0,0,0,0,0,,a,yes,1,charcoal,0,1,0,0,0,0,,,convenient modern,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,232760730,27
2023-04-18 15:07:08.920000+03:00,2023-04-18 20:57:29.405000+03:00,nsambya_gogonya,2023-04-18 15:07:00+03:00,female,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kosko,EM084,open_ground,own,home,33,15,2000,yes,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,umeme,1,0,0,0,0,0,,a,yes,1,charcoal,0,1,0,0,0,0,,,convenient good_smell clean,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,expensive not_safe,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,232760735,28
2023-04-18 09:57:05.981000+03:00,2023-04-19 08:37:44.776000+03:00,katwe_2,2023-04-18 09:57:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,open_ground,rent,home,5,3,500,no,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,kamyufu,0,0,0,1,0,0,,e,yes,1,charcoal,0,1,0,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,232829065,29
2023-04-18 10:41:37.567000+03:00,2023-04-19 08:39:58.325000+03:00,katwe_2,2023-04-18 10:41:00+03:00,male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,open_ground,rent,home,6,4,800,yes,yes,yes,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,landlord,0,1,0,0,0,0,,d,yes,1,charcoal,0,1,0,0,0,0,,,convenient,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,232829067,30
